17337377;de
17235098;que
14749840;no
12011733;a
10978671;la
9043009;el
8667317;es
8295424;y
8225083;en
8132364;lo
7109991;un
5469544;por
4921674;me
4757639;una
4062040;qué
4019934;te
3750287;los
3746044;con
3651371;se
3500701;â
3338962;para
2792569;mi
2740489;pero
2718745;está
2675738;si
2373249;su
2338993;las
2034656;tu
1941927;yo
1938085;al
1926481;del
1867106;como
1841417;eso
1798465;le
1469353;sí
1365959;ya
1365690;estoy
1328505;muy
1325129;más
1296330;hay
1277590;todo
1175904;esta
1167414;ha
1166145;tengo
1164714;nos
1133636;o
1047262;bien
1028252;tiene
1022865;cuando
1000164;esto
994080;algo
980900;estás
966123;este
964940;bueno
961384;cómo
958794;soy
948841;puedo
941345;quiero
925952;ahora
904791;he
902605;ser
891318;fue
863396;así
846989;tú
837858;son
837416;aquí
834840;tienes
832499;porque
829259;era
818126;vamos
765530;sólo
763639;eres
761173;hacer
758702;ese
734445;todos
726795;puede
723013;voy
710731;sé
703551;creo
696365;estã
692936;estaba
689619;solo
680952;esa
662761;sus
656868;ella
651031;vez
649264;sabes
649090;tenemos
648919;quã
641035;n
638797;él
633520;s
630225;va
615583;nada
613482;quién
606464;tan
603716;quieres
601271;dónde
596528;dos
591712;entonces
589472;puedes
587679;nunca
576113;hace
572577;sobre
567887;sin
557701;has
532052;están
522363;ni
504647;hasta
496463;estamos
492027;alguien
480252;ver
472361;mucho
469972;mejor
467280;estar
454630;mis
439135;usted
423771;decir
421615;oh
414303;otra
406150;dios
403506;les
402932;gracias
397280;siempre
396043;antes
393933;ir
388696;uno
387979;tal
387173;quiere
387059;parece
381603;hola
380824;hombre
380178;tiempo
372598;podemos
372372;siento
369599;vas
369320;sea
367037;mira
363463;poco
360159;gente
352279;cosas
351699;casa
347634;necesito
347349;dijo
346530;podría
346134;tus
345930;han
345734;nadie
345246;hablar
340466;desde
334673;hecho
328394;también
323111;tener
308911;estado
308232;donde
300297;favor
298583;tipo
296089;ahí
294763;otro
293294;mã
289769;gran
286464;vida
282892;nuestro
282654;fuera
278871;sabe
278784;buen
275265;sido
275123;tenía
274891;menos
267735;trabajo
264907;crees
263177;tienen
258938;buena
256883;haber
255757;después
255334;nuestra
255130;día
254775;tres
254324;toda
252582;había
250705;todas
249288;luego
247752;oye
247457;dice
245625;dije
244484;debe
242411;ellos
241686;sã­
237015;cada
236453;seguro
236003;cã
234441;hemos
233724;lugar
232818;ti
232530;nosotros
230626;mismo
229729;alguna
228844;claro
228191;mí
228175;sã
228100;padre
227001;será
226625;gusta
225561;estas
221903;años
221604;pasa
220945;haciendo
219850;verdad
